Id,ArrAvg,ArrStd,ArrCv,SrvAvg,SrvStd,SrvCv,Rho,NetSize,Capacity,NumPackets,DelayAvg,DelayStd,DeliveryProb
0,8.0,6.0,0.75,4.0,2.0,0.5,0.5,1.0,8.0,100000.0,4.852571781402031,2.7801426329870793,1.0
1,8.0,6.0,0.75,4.0,2.0,0.5,0.5,2.0,8.0,100000.0,9.582512786449698,3.840143330848753,1.0
2,8.0,6.0,0.75,4.0,2.0,0.5,0.5,3.0,8.0,100000.0,14.335168009511394,4.636507485337726,1.0
3,8.0,6.0,0.75,4.0,2.0,0.5,0.5,4.0,8.0,100000.0,19.07294688634386,5.314382350745939,1.0
4,8.0,6.0,0.75,4.0,2.0,0.5,0.5,5.0,8.0,100000.0,23.817190154872165,5.963309608552359,1.0
5,8.0,6.0,0.75,4.0,2.0,0.5,0.5,6.0,8.0,100000.0,28.463942595369506,6.404693083012195,1.0
6,8.0,6.0,0.75,4.0,2.0,0.5,0.5,7.0,8.0,100000.0,33.320543865106906,6.959964880952661,1.0
7,8.0,6.0,0.75,4.0,2.0,0.5,0.5,8.0,8.0,100000.0,37.97905831369255,7.343165781777637,1.0
8,8.0,6.0,0.75,4.0,2.0,0.5,0.5,9.0,8.0,100000.0,42.67468149746501,7.767295862489048,1.0
9,8.0,6.0,0.75,4.0,2.0,0.5,0.5,10.0,8.0,100000.0,47.39631431620151,8.178325636208912,1.0
10,8.0,6.0,0.75,4.0,2.0,0.5,0.5,11.0,8.0,100000.0,52.20132487295959,8.654570863222357,1.0
11,8.0,6.0,0.75,4.0,2.0,0.5,0.5,12.0,8.0,100000.0,56.97529805638592,8.909341836549466,1.0
12,8.0,6.0,0.75,4.0,2.0,0.5,0.5,13.0,8.0,100000.0,61.679982454057416,9.26646066687981,1.0
13,8.0,6.0,0.75,4.0,2.0,0.5,0.5,14.0,8.0,100000.0,66.33801959158818,9.646261340373613,1.0
14,8.0,6.0,0.75,4.0,2.0,0.5,0.5,15.0,8.0,100000.0,71.15934581695738,10.043763092191407,1.0
